,Date Recorded,Town,Assessed Value,Sale Amount,Residential Type,Longitude,Latitude
759,02/16/2021,Danbury,121600.0,146216.0,Single Family,-73.44696,41.41179
933,02/03/2021,Danbury,263600.0,415000.0,Single Family,-73.53692,41.38822
1470,11/23/2020,Danbury,84900.0,181778.0,Condo,-73.43796,41.38549
2107,01/05/2021,Avon,165260.0,430000.0,Condo,-72.91856,41.77954
2400,09/10/2021,Brookfield,3770.0,180000.0,Condo,-73.39124,41.46698
2490,05/03/2021,Colchester,19300.0,10000.0,Single Family,-72.40695,41.57147
2662,11/23/2020,Danbury,84900.0,181778.0,Condo,-73.43796,41.38549
4097,09/10/2021,Brookfield,132150.0,180000.0,Condo,-73.39124,41.46698
4223,12/14/2020,Danbury,167700.0,190000.0,Condo,-73.44901,41.4171
5148,07/02/2021,East Lyme,2083410.0,6568750.0,Single Family,-72.21122,41.28831
5362,05/18/2021,Danbury,18200.0,541361.0,Condo,-72.9039,41.71702
5707,11/23/2020,Danbury,82800.0,181778.0,Condo,-73.43796,41.38549
5738,11/23/2020,Danbury,83400.0,181778.0,Condo,-73.43796,41.38549
5834,01/25/2021,Danbury,326400.0,173000.0,Single Family,-73.48545,41.42587
6248,04/05/2021,Danbury,146700.0,360000.0,Single Family,-73.44826,41.4307
6421,07/19/2021,Barkhamsted,205870.0,415000.0,Single Family,-73.03127,41.96241
6511,09/17/2021,Ashford,100800.0,245000.0,Single Family,-72.19347,41.94076
6670,04/19/2021,Barkhamsted,156450.0,350000.0,Single Family,-72.9419,41.89826
6823,12/11/2020,East Lyme,187460.0,585000.0,Single Family,-72.2287,41.30147
7484,09/23/2021,Danbury,127700.0,370000.0,Single Family,-73.43016,41.39717
7659,06/16/2021,Danbury,18200.0,550603.0,Condo,-72.47382,41.7045
8068,05/25/2021,Danbury,121600.0,145000.0,Single Family,-73.44696,41.41179
8219,09/02/2021,Danbury,148300.0,425000.0,Single Family,-73.46626,41.41119
8454,11/02/2020,Danbury,105400.0,255000.0,Condo,-73.46318,41.38556
9400,11/23/2020,Danbury,84200.0,181778.0,Condo,-73.43796,41.38549
9789,05/04/2021,Danbury,131100.0,78000.0,Single Family,-73.50591,41.38325
9824,11/23/2020,Danbury,82400.0,181778.0,Condo,-73.43796,41.38549
11047,10/13/2020,Danbury,18200.0,544387.0,Condo,-72.84938,41.44213
11455,06/15/2021,Danbury,137900.0,352500.0,Single Family,-73.45111,41.41873
11537,11/09/2020,Danbury,168000.0,380000.0,Single Family,-73.46636,41.40823
11704,05/11/2021,Danbury,144300.0,339500.0,Single Family,-73.46561,41.42574
11831,11/23/2020,Danbury,84900.0,181778.0,Condo,-73.43796,41.38549
12339,12/10/2020,East Lyme,419720.0,1150000.0,Single Family,-72.20417,41.31308
12845,11/10/2020,Danbury,26000.0,465408.0,Condo,-73.45258,41.39306
13836,08/20/2021,Coventry,101900.0,325000.0,Single Family,-72.33549,41.77021
13879,05/07/2021,East Hartford,16290.0,10000.0,Condo,-72.63553,41.7366
14356,10/06/2020,Danbury,149800.0,396000.0,Two Family,-73.46194,41.3905
14945,09/02/2021,Danbury,50000.0,155000.0,Condo,-73.46717,41.40227
15327,09/07/2021,East Granby,145800.0,172000.0,Single Family,-72.73562,41.92427
16183,04/14/2021,Bristol,87430.0,275000.0,Single Family,-72.96345,41.66194
16705,06/18/2021,Griswold,93660.0,270000.0,Two Family,-73.06939,41.34105
17113,11/23/2020,Danbury,87000.0,194000.0,Condo,-73.43796,41.38549
17528,06/15/2021,Danbury,141600.0,335000.0,Single Family,-73.42528,41.39661
17712,08/17/2021,Brookfield,303090.0,650000.0,Single Family,-73.39512,41.51199
18290,10/20/2020,Griswold,112210.0,145000.0,Two Family,-71.94,41.58468
18609,10/08/2020,Danbury,152600.0,265000.0,Condo,-73.42544,41.3836
19268,11/30/2020,Danbury,129600.0,305000.0,Single Family,-73.43566,41.38807
19425,10/20/2020,Farmington,296090.0,559187.0,Condo,-72.78259,41.74512
20417,11/23/2020,Danbury,87000.0,193000.0,Condo,-73.43796,41.38549
20808,11/23/2020,Danbury,83400.0,188700.0,Condo,-73.43924,41.38732
20975,05/10/2021,Danbury,102800.0,256200.0,Condo,-73.46178,41.40092
21271,11/09/2020,Danbury,110900.0,260000.0,Single Family,-73.4344,41.38474
21966,07/27/2021,Danbury,130700.0,327000.0,Single Family,-73.46753,41.40078
22452,01/13/2021,Danbury,98000.0,150995.0,Single Family,-73.50683,41.38895
23678,05/10/2021,Danbury,278800.0,530000.0,Condo,-72.85037,41.44558
23685,08/18/2021,Colchester,145100.0,160000.0,Single Family,-72.40693,41.57329
23754,12/22/2020,Danbury,160000.0,380000.0,Single Family,-73.46863,41.39845
23922,11/23/2020,Danbury,84900.0,181778.0,Condo,-73.43961,41.38722
25097,06/01/2021,Danbury,133800.0,340000.0,Single Family,-73.4571,41.38103
25604,03/10/2021,Danbury,80200.0,139900.0,Condo,-73.46769,41.42001
25706,03/08/2021,Danbury,182100.0,225000.0,Single Family,-73.52067,41.43596
25815,08/09/2021,Danbury,136600.0,315000.0,Single Family,-73.44659,41.411
26292,01/25/2021,Norwalk,264130.0,885000.0,Two Family,-73.42033,41.0953
27847,08/30/2021,South Windsor,175300.0,390000.0,Single Family,-72.54096,41.86005
29876,09/03/2021,Norwalk,335620.0,619000.0,Single Family,-73.43762,41.11254
30065,07/01/2021,Norwalk,356590.0,680000.0,Single Family,-73.41381,41.14574
31542,03/17/2021,Portland,234290.0,400000.0,Single Family,-72.59479,41.59285
31625,01/22/2021,Montville,102990.0,108000.0,Single Family,-72.2017,41.47003
33522,05/19/2021,Southbury,262270.0,337500.0,Two Family,-73.19053,41.49528
34944,10/26/2020,Norwalk,248050.0,690000.0,Single Family,-73.4019,41.10046
36463,06/17/2021,Norwalk,347790.0,1080000.0,Three Family,-73.40208,41.09955
36473,04/30/2021,Norwalk,223480.0,562000.0,Single Family,-73.43084,41.12084
36909,01/22/2021,Norwalk,292110.0,1300000.0,Single Family,-73.44244,41.08043
37867,11/25/2020,New Haven,88690.0,173000.0,Two Family,-72.89526,41.3168
40439,07/19/2021,Montville,90840.0,233000.0,Single Family,-72.12453,41.44677
41129,06/03/2021,Montville,300910.0,415000.0,Single Family,-72.14685,41.50039
41755,06/15/2021,Norwalk,556980.0,1480000.0,Two Family,-73.43551,41.06878
42102,07/02/2021,Middletown,117450.0,135000.0,Two Family,-72.67921,41.54984
42387,08/23/2021,Norwalk,248050.0,765000.0,Single Family,-73.4019,41.10046
42654,12/29/2020,Norwalk,283620.0,265000.0,Single Family,-73.4045,41.13894
43046,07/19/2021,Norwalk,480670.0,950000.0,Single Family,-73.39721,41.16573
43757,07/21/2021,Old Saybrook,166000.0,485000.0,Single Family,-72.38487,41.27754
44023,11/19/2020,Norwalk,436460.0,320000.0,Single Family,-73.38916,41.13322
44214,09/01/2021,Montville,98870.0,275000.0,Single Family,-72.19303,41.47761
44479,03/19/2021,Old Saybrook,186300.0,476000.0,Single Family,-72.35957,41.2873
44528,05/03/2021,Montville,123370.0,140000.0,Single Family,-72.13117,41.48272
44886,09/16/2021,Norwalk,238710.0,621000.0,Single Family,-73.38717,41.12344
44929,05/10/2021,Norwalk,122480.0,170000.0,Condo,-73.42615,41.13118
46416,08/30/2021,Norwalk,397170.0,1220000.0,Single Family,-73.43781,41.07425
47490,05/21/2021,Southbury,352120.0,545000.0,Two Family,-73.18128,41.44375
48541,07/29/2021,Norwalk,261200.0,600000.0,Single Family,-73.38624,41.132
49997,06/10/2021,Plymouth,24500.0,154995.0,Condo,-73.02677,41.68438
51325,12/07/2020,Montville,90840.0,65000.0,Single Family,-72.12453,41.44677
51809,03/15/2021,Norwalk,263630.0,216057.0,Single Family,-73.43956,41.13556
52418,10/27/2020,Tolland,376800.0,650000.0,Single Family,-72.3703,41.88807
56195,06/16/2021,Wolcott,384220.0,495000.0,Single Family,-72.96216,41.59066
57014,08/10/2021,Westbrook,55840.0,185000.0,Single Family,-72.43231,41.28187
58938,07/12/2021,Thomaston,113400.0,85000.0,Single Family,-73.06787,41.63085
59800,09/13/2021,Woodstock,146900.0,465000.0,Single Family,-72.06319,41.95544
60822,07/06/2021,Willington,223070.0,318790019.0,Single Family,-72.30341,41.86603
64473,07/15/2021,Wolcott,205120.0,367000.0,Single Family,-73.00305,41.62688
799438,07/31/2017,Danbury,130800.0,90000.0,Single Family,-73.44151,41.41813
806117,06/01/2017,Danbury,171500.0,413497.0,Condo,-73.53533,41.38917
810306,08/31/2017,Preston,124750.0,72000.0,Single Family,-71.98328,41.50441
811309,07/03/2017,East Hampton,143500.0,100000.0,Single Family,-72.50581,41.58166
817633,08/28/2017,Danbury,191100.0,335000.0,Single Family,-73.42383,41.45119
817953,08/28/2017,Danbury,235500.0,365000.0,Condo,-73.42957,41.38286
820721,09/27/2017,Hamden,166600.0,155000.0,Single Family,-72.91028,41.4506
825879,03/12/2018,Bridgeport,144720.0,130000.0,Four Family,-73.20503,41.17821
826381,10/11/2017,East Haven,120270.0,132000.0,Two Family,-72.88339,41.28336
827478,06/18/2018,East Haven,159250.0,160000.0,Condo,-72.86648,41.26104
828717,06/14/2018,Bridgeport,129755.0,397500.0,Two Family,-73.20946,41.19314
829934,02/01/2018,New Haven,120820.0,147000.0,Two Family,-72.9283,41.33109
830494,08/23/2018,Clinton,118300.0,66000.0,Single Family,-72.50382,41.26412
836300,10/30/2017,New Haven,108430.0,95000.0,Single Family,-72.97277,41.34034
836507,06/04/2018,New Milford,279160.0,250000.0,Single Family,-73.4046,41.61921
837675,07/02/2018,Hartford,23870.0,37000.0,Single Family,-72.69406,41.74597
839375,09/19/2018,Hartford,62580.0,75000.0,Three Family,-72.69748,41.74439
840402,01/25/2018,Bridgeport,152350.0,140500.0,Three Family,-73.20286,41.18126
840678,03/15/2017,Torrington,42530.0,75000.0,Condo,-73.12026,41.82444
841469,04/10/2018,Hartford,66920.0,150000.0,Three Family,-72.68559,41.76053
844562,12/04/2017,East Haven,163650.0,207000.0,Single Family,-72.86339,41.3223
845253,01/25/2017,Torrington,69920.0,79000.0,Single Family,-73.13337,41.81201
847233,03/09/2018,Bridgeport,97860.0,149900.0,Single Family,-73.19738,41.20926
848495,04/04/2018,Hartford,37065.0,35000.0,Single Family,-72.67242,41.79631
850769,05/17/2018,Hartford,46550.0,105000.0,Single Family,-72.70271,41.80143
851156,08/29/2018,Hartford,43820.0,85000.0,Two Family,-72.68435,41.78639
851208,12/07/2017,New Hartford,177520.0,215000.0,Single Family,-73.00829,41.8772
851408,12/12/2017,East Haven,93350.0,95000.0,Single Family,-72.86976,41.2478
851488,10/06/2017,Hartford,46725.0,91000.0,Single Family,-72.69075,41.73001
851551,12/29/2017,Brookfield,327260.0,290500.0,Single Family,-73.43961,41.48077
851600,12/21/2017,Ledyard,110740.0,95000.0,Single Family,-72.04445,41.48342
852603,12/04/2017,Woodbridge,387940.0,301000.0,Single Family,-72.99028,41.36214
852987,10/02/2017,Middlebury,650900.0,1100000.0,Single Family,-73.12918,41.55027
854873,04/20/2018,Milford,146970.0,245000.0,Single Family,-73.07014,41.21059
855899,03/21/2018,East Haven,203610.0,199900.0,Condo,-72.88123,41.28208
855997,12/01/2017,Newington,117150.0,140000.0,Single Family,-72.71122,41.68772
856903,03/21/2018,New Milford,232680.0,275000.0,Single Family,-73.49206,41.63907
857350,05/22/2018,Naugatuck,68990.0,105000.0,Condo,-73.03623,41.49797
857931,03/23/2018,East Haven,151280.0,165000.0,Single Family,-72.87239,41.25745
857984,10/04/2017,New Haven,222950.0,255000.0,Single Family,-72.94323,41.326
858175,06/15/2018,New Milford,424410.0,525000.0,Single Family,-73.35685,41.57301
858442,11/02/2017,Bridgeport,175570.0,155000.0,Three Family,-73.17977,41.20783
859052,12/22/2017,East Haven,140420.0,175000.0,Single Family,-72.86425,41.30477
859529,01/22/2018,New Haven,36330.0,27500.0,Condo,-72.87883,41.31354
860830,12/11/2017,Bridgeport,148660.0,120000.0,Three Family,-73.2143,41.17393
860882,06/18/2018,New Milford,137760.0,232000.0,Single Family,-73.40883,41.60213
861898,10/04/2017,Hartford,35840.0,60000.0,Single Family,-72.6925,41.79931
863002,06/08/2018,Bridgeport,111030.0,86367.0,Single Family,-73.21168,41.21487
864259,11/13/2017,East Haven,112690.0,130000.0,Single Family,-72.87132,41.27233
864608,12/06/2017,New Haven,380030.0,376000.0,Three Family,-72.9153,41.3157
864843,12/15/2017,Hartford,33110.0,55000.0,Three Family,-72.67898,41.73739
865579,11/28/2017,Newington,132950.0,148000.0,Single Family,-72.72822,41.71317
867361,07/10/2018,Groton,114310.0,92500.0,Single Family,-72.07963,41.36109
868082,03/15/2018,Hartford,27125.0,50000.0,Three Family,-72.69141,41.77713
869567,02/20/2018,New London,100240.0,3000000.0,Four Family,-72.10143,41.37931
870818,03/23/2018,Columbia,162900.0,84395.0,Single Family,-72.32182,41.70947
871394,01/09/2018,East Haven,180330.0,205000.0,Single Family,-72.85289,41.33082
872339,05/21/2018,Rocky Hill,166600.0,125000.0,Single Family,-72.67535,41.66234
872340,02/08/2018,New Haven,109970.0,107500.0,Three Family,-72.93078,41.33373
872868,03/19/2018,Southington,48600.0,99900.0,Single Family,-72.87284,41.62526
872938,02/23/2018,New Milford,225890.0,575000.0,Single Family,-73.42035,41.50923
873112,01/08/2018,Bridgeport,123950.0,45000.0,Single Family,-73.20156,41.17657
873904,02/06/2018,Clinton,5400.0,32500.0,Single Family,-72.52646,41.28558
874928,09/05/2018,Rocky Hill,141190.0,157000.0,Single Family,-72.64669,41.67958
875372,01/09/2018,Manchester,93900.0,80000.0,Single Family,-72.53218,41.76904
875486,02/20/2018,New London,266770.0,3000000.0,Four Family,-72.10159,41.37977
875735,04/17/2018,New Haven,104860.0,100000.0,Three Family,-72.92659,41.33262
878119,09/25/2019,Danbury,535100.0,656995.0,Condo,-73.51974,41.38441
878835,04/29/2019,Clinton,33400.0,4500.0,Single Family,-72.54104,41.2775
878898,07/06/2018,Rocky Hill,160370.0,100000.0,Single Family,-72.64655,41.67938
880322,02/09/2018,Oxford,200100.0,201338.0,Single Family,-73.11423,41.40485
880388,11/27/2018,Danbury,53800.0,120000.0,Condo,-73.42148,41.39979
880815,09/04/2019,Danbury,56500.0,175000.0,Condo,-73.45281,41.38993
881315,01/28/2019,Danbury,142400.0,175000.0,Single Family,-73.43631,41.38653
881509,06/01/2018,Thompson,27800.0,90000.0,Single Family,-71.94748,42.00799
882452,05/10/2018,Vernon,168980.0,110000.0,Single Family,-72.45789,41.82812
883425,09/26/2019,New Milford,250530.0,150000.0,Single Family,-73.43501,41.51014
884887,06/27/2019,New Milford,142380.0,283000.0,Single Family,-73.42574,41.52224
885211,05/11/2018,Vernon,92630.0,87500.0,Two Family,-72.45737,41.86628
885783,11/20/2017,Vernon,144980.0,75000.0,Single Family,-72.44729,41.86966
889493,10/31/2017,Oxford,185400.0,180000.0,Single Family,-73.14233,41.47727
891359,10/23/2017,Scotland,115510.0,130000.0,Single Family,-72.05956,41.66286
892210,01/03/2019,Danbury,205900.0,299000.0,Condo,-73.42612,41.42207
898550,07/31/2018,Torrington,115890.0,77000.0,Two Family,-73.11805,41.81254
900448,09/21/2018,Newington,75990.0,74500.0,Condo,-72.71758,41.67689
900526,05/02/2019,Cromwell,221130.0,200000.0,Single Family,-72.65138,41.61119
902096,04/09/2018,Southington,219340.0,215000.0,Single Family,-72.89353,41.61416
902768,10/24/2018,Bridgeport,174310.0,320000.0,Single Family,-73.19535,41.21243
903935,10/17/2018,New Milford,334880.0,250000.0,Single Family,-73.3682,41.57958
904014,05/21/2019,Farmington,909870.0,1675000.0,Single Family,-72.8041,41.75808
907424,09/03/2019,Simsbury,338740.0,533278.0,Condo,-72.82426,41.85673
908123,04/26/2019,Cromwell,50890.0,87500.0,Condo,-72.67675,41.60718
908744,04/23/2019,Griswold,120260.0,135000.0,Single Family,-71.89556,41.57507
911540,07/17/2019,Danbury,201800.0,144000.0,Two Family,-73.46638,41.41507
912959,08/28/2019,Danbury,98600.0,186000.0,Condo,-73.46318,41.38556
913494,07/03/2019,Griswold,87640.0,112900.0,Condo,-72.64947,41.55449
916103,06/11/2019,Sterling,195550.0,255000.0,Single Family,-71.79828,41.72068
918037,01/09/2019,Danbury,60800.0,133500.0,Condo,-73.4349,41.39592
918425,12/26/2018,Plymouth,10770.0,185000.0,Single Family,-72.99156,41.67989
918883,08/28/2019,New Milford,155580.0,275000.0,Single Family,-73.40334,41.57871
919085,09/05/2019,Danbury,111500.0,110000.0,Single Family,-73.46269,41.38955
919358,09/26/2019,Danbury,63400.0,135000.0,Condo,-73.46099,41.38528
919653,05/29/2019,New Milford,107310.0,240000.0,Single Family,-73.46321,41.56821
920426,07/22/2019,Thompson,56500.0,56000.0,Single Family,-71.81558,41.95076
921670,09/30/2019,Danbury,193700.0,50000.0,Single Family,-73.51509,41.37739
921937,10/02/2018,Vernon,161620.0,140000.0,Condo,-72.4717,41.83239
922153,06/03/2019,Danbury,184300.0,200000.0,Three Family,-73.46174,41.3934
922228,09/05/2019,Montville,8630.0,5000.0,Single Family,-72.12979,41.44909
924257,03/06/2019,New Milford,32480.0,82500.0,Condo,-73.40456,41.6068
925793,06/27/2019,Woodbridge,558390.0,650000.0,Single Family,-73.00188,41.34628
925930,02/28/2019,Sterling,121450.0,305000.0,Single Family,-71.82244,41.75057
926805,11/21/2018,North Branford,85200.0,480940.0,Single Family,-72.81317,41.71501
926994,10/11/2018,Danbury,49800.0,117500.0,Condo,-73.4673,41.40314
927092,09/27/2019,New Milford,177660.0,150000.0,Single Family,-73.41756,41.59321
927110,07/25/2019,Torrington,78710.0,75000.0,Single Family,-73.12874,41.79823
927740,08/05/2019,Danbury,171500.0,353100.0,Single Family,-73.47066,41.44814
927990,04/23/2019,New Milford,143640.0,95000.0,Single Family,-73.40937,41.59266
928601,08/01/2019,Danbury,98200.0,240000.0,Single Family,-73.44706,41.3941
929193,07/01/2020,Danbury,160500.0,185000.0,Two Family,-73.43578,41.40292
931250,02/18/2020,Cromwell,423640.0,665000.0,Condo,-72.63531,41.6331
931577,11/25/2019,Cromwell,240450.0,405000.0,Condo,-72.65312,41.60924
932945,04/23/2020,Colebrook,400700.0,441000.0,Single Family,-73.04317,41.98227
933540,06/09/2020,Cheshire,118750.0,160000.0,Single Family,-72.88083,41.56062
935755,07/31/2020,Farmington,226670.0,475000.0,Four Family,-72.87672,41.75394
936264,08/05/2020,Danbury,180900.0,261620.0,Condo,-73.44164,41.42736
936270,01/02/2020,Colebrook,135500.0,150000.0,Single Family,-73.04533,41.98415
937012,04/09/2020,Cromwell,102620.0,170000.0,Condo,-72.68257,41.60751
937654,11/18/2019,Danbury,110900.0,146233.0,Single Family,-73.4344,41.38474
938211,11/01/2019,Barkhamsted,198910.0,255000.0,Single Family,-72.99392,41.91192
941330,04/07/2020,Berlin,167400.0,269900.0,Single Family,-72.78633,41.63451
942277,10/09/2018,Vernon,66440.0,49500.0,Single Family,-72.43976,41.86673
947043,06/12/2020,Essex,196900.0,205000.0,Single Family,-72.39185,41.35672
947964,02/24/2020,Bethel,214480.0,294812.0,Single Family,-73.40142,41.39845
951131,10/23/2018,Torrington,109280.0,95000.0,Two Family,-73.12054,41.79515
952166,04/02/2020,Danbury,141300.0,135000.0,Single Family,-73.4367,41.40267
952244,05/07/2020,Danbury,101800.0,81000.0,Condo,-73.46735,41.38965
955455,10/15/2019,Bristol,84630.0,235000.0,Two Family,-72.93496,41.67495
957900,10/30/2019,Southington,168020.0,170000.0,Condo,-72.88731,41.60436
958624,08/18/2020,Farmington,61130.0,117000.0,Condo,-72.87296,41.75213
959799,12/18/2019,Meriden,201880.0,160000.0,Single Family,-72.83298,41.53198
961080,05/05/2020,Norwalk,595430.0,2374620.0,Single Family,-73.43513,41.06013
963735,06/22/2020,New London,73640.0,80000.0,Single Family,-72.1084,41.36121
963912,02/26/2020,Hartford,53795.0,90000.0,Two Family,-72.69666,41.80523
964736,04/21/2020,Trumbull,240380.0,205000.0,Single Family,-73.1686,41.26347
964994,01/15/2020,Bridgeport,105310.0,215000.0,Single Family,-73.22555,41.20769
965198,11/12/2019,Norwalk,84120.0,70000.0,Condo,-73.42111,41.09812
966574,03/27/2020,Ansonia,93500.0,90000.0,Two Family,-73.08004,41.3539
966968,06/16/2020,Plainfield,49570.0,71000.0,Single Family,-71.90329,41.67297
967922,10/15/2019,Bristol,115080.0,255000.0,Single Family,-72.97475,41.67855
971317,02/24/2020,Bethel,214480.0,230000.0,Single Family,-73.40142,41.39845
973206,11/07/2019,Trumbull,169890.0,362000.0,Single Family,-73.22026,41.23115
974010,06/18/2020,Trumbull,194670.0,220000.0,Single Family,-73.16295,41.2413
975297,05/28/2020,Danbury,169200.0,320000.0,Single Family,-73.46484,41.37572
976827,07/15/2020,Prospect,115740.0,89000.0,Single Family,-72.9949,41.52614
977027,10/18/2019,Montville,104650.0,102000.0,Single Family,-72.20071,41.44768
979517,03/04/2020,Danbury,167700.0,189000.0,Condo,-73.44901,41.4171
980168,06/18/2020,Trumbull,194670.0,190000.0,Single Family,-73.16295,41.2413
984216,09/28/2020,Salisbury,151600.0,520000.0,Single Family,-73.437,41.96673
988397,08/17/2020,New London,73640.0,68000.0,Single Family,-72.1084,41.36121
988668,06/17/2020,Westbrook,69790.0,35000.0,Single Family,-72.46828,41.2832
988906,10/28/2019,Watertown,68200.0,157000.0,Single Family,-73.13627,41.5838
989292,06/08/2020,Norwalk,398690.0,465000.0,Single Family,-73.40877,41.1261
993144,01/06/2020,Norwalk,263830.0,205000.0,Single Family,-73.43547,41.11261
